ph,TDS,Hardness,Turbidity
,20791.31898,204.8904555,2.963135381
3.716080075,18630.05786,129.4229205,4.500656275
8.099124189,19909.54173,224.2362594,3.05593375
8.316765884,22018.41744,214.3733941,4.628770537
9.092223456,17978.98634,181.1015092,4.075075425
5.584086638,28748.68774,188.3133238,2.559708228
10.22386216,28749.71654,248.0717353,2.672988737
8.635848719,13672.09176,203.3615226,4.401424715
,14285.58385,118.9885791,3.595017181
11.18028447,25484.50849,227.2314692,4.370561937
7.360640106,32452.61441,165.5207973,3.662291783
7.974521649,18767.65668,218.6933005,4.011718108
7.119824384,18730.81365,156.7049933,3.445756223
,27331.36196,150.1749234,4.413974183
7.496232208,28388.00489,205.3449822,4.777382337
6.347271761,41065.23476,186.7328807,4.376348291
7.0517858,30980.60079,211.0494061,4.268428858
9.181560007,24041.32628,273.8138067,4.503660796
8.975464348,19460.39813,279.3571668,2.43608559
7.371050302,25630.32004,214.4966105,2.560299148
,22305.56741,227.4350484,4.133422644
6.660212026,30944.36359,168.2837469,3.749701241
,17107.22423,215.9778587,5.459250956
3.902475686,21167.5001,196.9032467,4.528522696
5.400301781,17266.59342,140.7390623,4.82478639
6.514415093,21218.70287,198.7673513,5.200885077
3.445061864,33424.76868,207.9262602,4.184396969
,13224.93564,145.7681806,4.004871128
,26362.96501,266.4210181,3.991564248
,15193.41347,148.1530614,6.038184953
7.181448581,15196.22999,209.6256005,5.088859989
9.825489908,19677.89247,190.7566183,2.857472426
10.43329098,22326.89205,117.7912296,5.057310517
7.414148196,32555.85254,235.0445345,3.160624468
,14787.20626,232.280452,5.029166724
5.115817064,19620.54533,191.952743,3.902088768
3.641629777,24752.07246,183.9087223,3.464353035
5.618064406,17281.97517,304.2359121,2.896546941
,19942.27322,143.4537313,2.907563915
9.267187531,24683.72357,198.6143947,4.324004646
,11703.92391,233.8589957,3.510004045
5.331940479,16658.8765,194.8740654,4.434820258
7.145771545,28780.34043,238.6899285,5.182590704
9.920691059,9973.934059,202.817483,4.69070723
4.758439425,21568.42878,183.3494541,4.542801462
5.702925977,35606.44018,216.8504739,4.137739016
6.953864226,10575.18628,209.638293,3.195710328
10.68296643,15758.74062,173.3754984,3.999775382
,34415.85315,129.8905723,4.405586
8.757257397,21536.22469,200.1914004,3.626135442
,27492.30731,168.3884308,3.048057223
7.809631898,12013.55063,100.4576151,2.447444464
6.652488091,19871.78845,145.0101719,3.742090426
9.147197055,11920.61084,211.7141418,3.794531591
10.56074464,21783.65103,181.8933656,3.96468635
7.484254838,30616.61515,260.0921726,4.781188177
8.520806573,28779.65001,238.3351125,3.94060453
4.999413811,24323.8659,190.2870501,4.460683932
,16963.62501,157.8011936,4.405385706
,20557.24043,155.0557268,4.08990769
3.906078355,32144.79993,233.402835,3.902879712
6.391353624,20965.47831,213.0178297,3.923749169
,35729.69271,229.4856937,3.855602212
8.692092013,24656.23968,195.1437388,4.477960248
8.085759801,32653.91036,127.7396738,4.068688909
6.203977702,21815.07415,212.3066183,5.215689206
5.058108869,34873.93452,238.5693804,5.106655774
,27420.16742,103.4647587,4.620793452
,12830.48413,211.200526,3.439740042
7.261550522,24964.7777,179.8897882,3.636364183
7.160467231,6743.346066,183.08931,3.884891044
5.704764776,33223.58153,116.2993299,4.157533407
6.217273135,19460.38282,130.9444639,5.325833446
8.67993497,22984.05095,242.2286673,3.873470298
,14859.46642,219.3009142,4.655916599
6.897322141,25650.77764,211.3601667,5.02278363
3.514545529,23029.66361,158.7320758,3.762615331
3.722500486,37962.16799,163.6397469,3.662837732
6.455004797,24468.04839,176.6839728,2.293431406
7.316804754,31903.39981,217.522862,3.50837265
1.844538366,28689.59578,233.7643427,5.013463351
5.519125656,12531.60192,168.728583,3.75899586
7.408985467,9566.12227,204.9617498,3.772420928
5.976769618,27267.98186,258.952732,2.994671096
6.395359132,23827.27502,133.8342291,4.191217515
6.20964226,13116.70771,195.4177209,3.612519615
6.762832522,27159.38435,232.0751766,4.916579161
9.918717064,21470.27831,199.1812511,3.385508444
10.15544017,12652.36298,300.2924758,5.00246726
8.721726711,28608.05208,206.3696824,2.555026904
,17153.30616,197.9797828,4.383921814
,29721.91163,199.1078856,3.355164642
6.099646705,20416.841,237.9199268,3.172789769
9.02678772,27965.07215,253.2170742,2.019042018
6.953371603,11609.10905,203.1465468,3.651865808
6.140877557,26687.87448,197.8760897,5.359460295
7.077874007,23873.37821,220.6705396,4.764508265
5.488314309,21485.1532,135.8023617,5.066786272
7.205559175,24627.86756,120.3276153,3.710053126
9.177869866,20868.33122,163.2748283,3.108769988
4.270716195,24405.25053,166.8377085,3.763905903
